produto;id_produto;dsc_safra;estoque_inicial_1000t;producao_1000t;importacao_1000t;consumo_1000t;exportacao_1000t;estoque_final_1000t
ALGODAO EM PLUMA                        ;11182;1999/00        ;380,09;700,3;299,9;885,0;28,5;466,79
ALGODAO EM PLUMA                        ;11182;2000/01        ;466,79;938,8;81,3;865,0;147,3;474,59
ALGODAO EM PLUMA                        ;11182;2001/02        ;474,59;766,2;67,6;815,0;109,6;383,79
ALGODAO EM PLUMA                        ;11182;2002/03        ;383,79;847,5;118,9;830,0;175,4;344,79
ALGODAO EM PLUMA                        ;11182;2003/04        ;344,79;1309,4;105,2;903,4;331,0;524,99
ALGODAO EM PLUMA                        ;11182;2004/05        ;524,99;1298,7;37,621;945,9;390,963;524,448
ALGODAO EM PLUMA                        ;11182;2005/06        ;524,448;1037,8;81,6;983,4;304,5;355,948
ALGODAO EM PLUMA                        ;11182;2006/07        ;355,948;1524,0;96,781;990,0;419,4;567,329
ALGODAO EM PLUMA                        ;11182;2007/08        ;567,329;1602,2;33,71;995,3;532,949;674,99
ALGODAO EM PLUMA                        ;11182;2008/09        ;674,99;1213,7;14,459;1004,1;504,9;394,149
ALGODAO EM PLUMA                        ;11182;2009/10        ;394,149;1194,1;39,22;1039,0;512,5;75,969
ALGODAO EM PLUMA                        ;11182;2010/11        ;75,969;1959,8;144,2;860,0;758,3;561,669
ALGODAO EM PLUMA                        ;11182;2011/12        ;561,669;1893,3;3,5;840,0;1052,8;565,669
ALGODAO EM PLUMA                        ;11182;2012/13        ;565,669;1310,3;17,4;875,0;572,913;445,456
ALGODAO EM PLUMA                        ;11182;2013/14        ;445,456;1734,0;31,456566;810,0;748,6;652,312566
ALGODAO EM PLUMA                        ;11182;2014/15        ;652,312566;1562,8;2,1;670,0;834,3;712,912566
ALGODAO EM PLUMA                        ;11182;2015/16        ;712,9;1289,2;27,0;640,0;804,0;585,1
ALGODAO EM PLUMA                        ;11182;2016/17        ;585,1;1529,5;33,6;685,0;834,1;629,1
ALGODAO EM PLUMA                        ;11182;2017/18        ;629,1;2005,8;19,6;700,0;974,0;980,5
ALGODAO EM PLUMA                        ;11182;2018/19        ;980,5;2778,8;1,7;720,0;1613,7;1427,3
ALGODAO EM PLUMA                        ;11182;2019/20        ;1427,3;3001,6;2,2;690,0;2125,4;1615,7
ALGODAO EM PLUMA                        ;11182;2020/21        ;1615,7;2359,0;4,6;720,0;2016,6;1242,7
ALGODAO EM PLUMA                        ;11182;2021/22        ;1242,7;2554,1;2,3;675,0;1803,7;1320,4
ALGODAO EM PLUMA                        ;11182;2022/23        ;1320,4;3173,3;1,7;680,0;1618,2;2197,2
ALGODAO EM PLUMA                        ;11182;2023/24        ;2197,2;3644,0;1,0;695,0;2830,0;2317,2
ARROZ                                   ;11159;1999/00        ;2571,1;11423,1;910,0;12335,4;38,1;2530,7
ARROZ                                   ;11159;2000/01        ;2530,7;10386,0;964,2;11505,1;31,3;2344,5
ARROZ                                   ;11159;2001/02        ;2344,5;10626,1;768,6;11271,4;43,9;2423,9
ARROZ                                   ;11159;2002/03        ;2423,9;10367,1;1541,1;11993,1;28,4;2310,6
ARROZ                                   ;11159;2003/04        ;2310,6;12960,3912;1206,7;13485,7;53,7;2938,3
ARROZ                                   ;11159;2004/05        ;2938,3;13355,0344;694,2;13630,5;416,5;2940,5
ARROZ                                   ;11159;2005/06        ;2940,5;11721,73779;885,8;12308,4;426,2;2813,4
ARROZ                                   ;11159;2006/07        ;2813,4;11315,9;992,8;12305,5;295,9;2520,7
ARROZ                                   ;11159;2007/08        ;2520,7;12074,0;605,9;12148,0;749,8;2302,8
ARROZ                                   ;11159;2008/09        ;2302,8;12602,5;839,3;12137,8;827,9;2778,9
ARROZ                                   ;11159;2009/10        ;2778,9;11660,9;1086,2;12062,3;628,8;2834,9
ARROZ                                   ;11159;2010/11        ;2834,9;13613,1;839,7;12083,4;1892,5;3311,8
ARROZ                                   ;11159;2011/12        ;3311,8;11599,5;987,4;11681,9;1600,3;2616,5
ARROZ                                   ;11159;2012/13        ;2616,5;11819,7;1027,0;11854,2;1234,7;2374,3
ARROZ                                   ;11159;2013/14        ;2374,3;12121,6;856,6;11821,2;1226,4;2304,9
ARROZ                                   ;11159;2014/15        ;2304,9;12448,6;510,0;11830,5;1311,1;2121,9
ARROZ                                   ;11159;2015/16        ;2121,9;10603,0;1044,1;11096,6;935,5;1736,9
ARROZ                                   ;11159;2016/17        ;1736,9;12327,8;1141,7;12215,7;868,8;2121,9
ARROZ                                   ;11159;2017/18        ;2121,9;12064,2;842,7;10793,7;1809,3;2425,8
ARROZ                                   ;11159;2018/19        ;2425,8;10483,6;1012,5;10544,6;1432,3;1945,0
ARROZ                                   ;11159;2019/20        ;1945,0;11183,4;1280,8;10708,3;1813,4;1887,5
ARROZ                                   ;11159;2020/21        ;1887,5;11766,4;1004,1;10832,4;1143,5;2682,1
